,Survived,Sex,Age,SibSp,Parch,Fare,class2,class3,cabinA,cabinB,cabinC,cabinD,cabinE,cabinF,cabinG,cabinT,cherbourg,queenstown,southampton
347,1,0,29.69911764705882,1,0,16.1,0,1,0,0,0,0,0,0,0,0,0,0,1
674,0,1,29.69911764705882,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
791,0,1,16.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
836,0,1,21.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1
56,1,0,21.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
62,0,1,45.0,1,0,83.475,0,0,0,0,1,0,0,0,0,0,0,0,1
762,1,1,20.0,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
561,0,1,40.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
383,1,0,35.0,1,0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,1
881,0,1,33.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
457,1,0,29.69911764705882,1,0,51.8625,0,0,0,0,0,1,0,0,0,0,0,0,1
175,0,1,18.0,1,1,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
319,1,0,40.0,1,1,134.5,0,0,0,0,0,0,1,0,0,0,1,0,0
94,0,1,59.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
312,0,0,26.0,1,1,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
392,0,1,28.0,2,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
733,0,1,23.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
412,1,0,33.0,1,0,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0
506,1,0,33.0,0,2,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
346,1,0,40.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,1,0,5.0,1,2,27.75,1,0,0,0,0,0,0,0,0,0,0,0,1
619,0,1,26.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
472,1,0,33.0,1,2,27.75,1,0,0,0,0,0,0,0,0,0,0,0,1
521,0,1,22.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
438,0,1,64.0,1,4,263.0,0,0,0,0,1,0,0,0,0,0,0,0,1
269,1,0,35.0,0,0,135.6333,0,0,0,0,1,0,0,0,0,0,0,0,1
845,0,1,42.0,0,0,7.55,0,1,0,0,0,0,0,0,0,0,0,0,1
147,0,0,9.0,2,2,34.375,0,1,0,0,0,0,0,0,0,0,0,0,1
13,0,1,39.0,1,5,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
344,0,1,36.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
354,0,1,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
636,0,1,32.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
116,0,1,70.5,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
711,0,1,29.69911764705882,0,0,26.55,0,0,0,0,1,0,0,0,0,0,0,0,1
453,1,1,49.0,1,0,89.1042,0,0,0,0,1,0,0,0,0,0,1,0,0
890,0,1,32.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
14,0,0,14.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
445,1,1,4.0,0,2,81.8583,0,0,1,0,0,0,0,0,0,0,0,0,1
197,0,1,42.0,0,1,8.4042,0,1,0,0,0,0,0,0,0,0,0,0,1
768,0,1,29.69911764705882,1,0,24.15,0,1,0,0,0,0,0,0,0,0,0,1,0
32,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
753,0,1,23.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
206,0,1,32.0,1,0,15.85,0,1,0,0,0,0,0,0,0,0,0,0,1
394,1,0,24.0,0,2,16.7,0,1,0,0,0,0,0,0,1,0,0,0,1
826,0,1,29.69911764705882,0,0,56.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
143,0,1,19.0,0,0,6.75,0,1,0,0,0,0,0,0,0,0,0,1,0
422,0,1,29.0,0,0,7.875,0,1,0,0,0,0,0,0,0,0,0,0,1
586,0,1,47.0,0,0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,1
311,1,0,18.0,2,2,262.375,0,0,0,1,0,0,0,0,0,0,1,0,0
340,1,1,2.0,1,1,26.0,1,0,0,0,0,0,0,1,0,0,0,0,1
226,1,1,19.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
607,1,1,27.0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,1
373,0,1,22.0,0,0,135.6333,0,0,0,0,0,0,0,0,0,0,1,0,0
