,Sex,Age,SibSp,Parch,Fare,class2,class3,cabinA,cabinB,cabinC,cabinD,cabinE,cabinF,cabinG,cabinT,cherbourg,queenstown,southampton
0,1,34.5,0,0,7.8292,0,1,1,0,0,0,0,0,0,0,0,1,0
1,0,47.0,1,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,1
2,1,62.0,0,0,9.6875,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1,27.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
4,0,22.0,1,1,12.2875,0,1,1,0,0,0,0,0,0,0,0,0,1
5,1,14.0,0,0,9.225,0,1,1,0,0,0,0,0,0,0,0,0,1
6,0,30.0,0,0,7.6292,0,1,1,0,0,0,0,0,0,0,0,1,0
7,1,26.0,1,1,29.0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,0,18.0,0,0,7.2292,0,1,1,0,0,0,0,0,0,0,1,0,0
9,1,21.0,2,0,24.15,0,1,1,0,0,0,0,0,0,0,0,0,1
10,1,30.272590361445783,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
11,1,46.0,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0,23.0,1,0,82.2667,0,0,0,0,1,0,0,0,0,0,0,0,1
13,1,63.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
14,0,47.0,1,0,61.175,0,0,0,0,0,0,0,1,0,0,0,0,1
15,0,24.0,1,0,27.7208,1,0,1,0,0,0,0,0,0,0,1,0,0
16,1,35.0,0,0,12.35,1,0,1,0,0,0,0,0,0,0,0,1,0
17,1,21.0,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
18,0,27.0,1,0,7.925,0,1,1,0,0,0,0,0,0,0,0,0,1
19,0,45.0,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
20,1,55.0,1,0,59.4,0,0,1,0,0,0,0,0,0,0,1,0,0
21,1,9.0,0,1,3.1708,0,1,1,0,0,0,0,0,0,0,0,0,1
22,0,30.272590361445783,0,0,31.6833,0,0,1,0,0,0,0,0,0,0,0,0,1
23,1,21.0,0,1,61.3792,0,0,1,0,0,0,0,0,0,0,1,0,0
24,0,48.0,1,3,262.375,0,0,0,0,1,0,0,0,0,0,1,0,0
25,1,50.0,1,0,14.5,0,1,1,0,0,0,0,0,0,0,0,0,1
26,0,22.0,0,1,61.9792,0,0,0,0,1,0,0,0,0,0,1,0,0
27,1,22.5,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
28,1,41.0,0,0,30.5,0,0,0,1,0,0,0,0,0,0,0,0,1
29,1,30.272590361445783,2,0,21.6792,0,1,1,0,0,0,0,0,0,0,1,0,0
30,1,50.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
31,1,24.0,2,0,31.5,1,0,1,0,0,0,0,0,0,0,0,0,1
32,0,33.0,1,2,20.575,0,1,1,0,0,0,0,0,0,0,0,0,1
33,0,30.272590361445783,1,2,23.45,0,1,1,0,0,0,0,0,0,0,0,0,1
34,1,30.0,1,0,57.75,0,0,0,0,0,1,0,0,0,0,1,0,0
35,1,18.5,0,0,7.2292,0,1,1,0,0,0,0,0,0,0,1,0,0
36,0,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
37,0,21.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
38,1,25.0,0,0,9.5,0,1,1,0,0,0,0,0,0,0,0,0,1
39,1,30.272590361445783,0,0,56.4958,0,1,1,0,0,0,0,0,0,0,0,0,1
40,1,39.0,0,1,13.4167,0,1,1,0,0,0,0,0,0,0,1,0,0
41,1,30.272590361445783,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1
42,1,41.0,0,0,7.85,0,1,1,0,0,0,0,0,0,0,0,0,1
43,0,30.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
44,0,45.0,1,0,52.5542,0,0,0,0,0,0,1,0,0,0,0,0,1
45,1,25.0,0,0,7.925,0,1,1,0,0,0,0,0,0,0,0,0,1
46,1,45.0,0,0,29.7,0,0,0,1,0,0,0,0,0,0,1,0,0
47,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
48,0,60.0,0,0,76.2917,0,0,0,0,0,0,1,0,0,0,1,0,0
49,0,36.0,0,2,15.9,0,1,1,0,0,0,0,0,0,0,0,0,1
50,1,24.0,1,0,60.0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,1,27.0,0,0,15.0333,1,0,1,0,0,0,0,0,0,0,1,0,0
52,0,20.0,2,1,23.0,1,0,1,0,0,0,0,0,0,0,0,0,1
53,0,28.0,3,2,263.0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,1,30.272590361445783,0,0,15.5792,1,0,1,0,0,0,0,0,0,0,1,0,0
55,1,10.0,4,1,29.125,0,1,1,0,0,0,0,0,0,0,0,1,0
56,1,35.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
57,1,25.0,0,0,7.65,0,1,0,0,0,0,0,0,1,0,0,0,1
58,1,30.272590361445783,1,0,16.1,0,1,1,0,0,0,0,0,0,0,0,0,1
59,0,36.0,0,0,262.375,0,0,0,0,1,0,0,0,0,0,1,0,0
60,1,17.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
61,1,32.0,0,0,13.5,1,0,1,0,0,0,0,0,0,0,0,0,1
62,1,18.0,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,0,1
63,0,22.0,0,0,7.725,0,1,1,0,0,0,0,0,0,0,0,1,0
64,1,13.0,2,2,262.375,0,0,0,0,1,0,0,0,0,0,1,0,0
65,0,30.272590361445783,0,0,21.0,1,0,1,0,0,0,0,0,0,0,0,0,1
66,0,18.0,0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1,0
67,1,47.0,0,0,42.4,0,0,1,0,0,0,0,0,0,0,0,0,1
68,1,31.0,0,0,28.5375,0,0,0,0,0,1,0,0,0,0,1,0,0
69,0,60.0,1,4,263.0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,0,24.0,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
71,1,21.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
72,0,29.0,0,0,7.925,0,1,1,0,0,0,0,0,0,0,0,0,1
73,1,28.5,0,0,27.7208,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,35.0,0,0,211.5,0,0,0,0,0,1,0,0,0,0,1,0,0
75,1,32.5,0,0,211.5,0,0,0,0,0,1,0,0,0,0,1,0,0
76,1,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
77,0,55.0,2,0,25.7,0,0,0,0,0,1,0,0,0,0,0,0,1
78,1,30.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
79,0,24.0,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
80,1,6.0,1,1,15.2458,0,1,1,0,0,0,0,0,0,0,1,0,0
81,1,67.0,1,0,221.7792,0,0,0,0,0,1,0,0,0,0,0,0,1
82,1,49.0,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,1
83,1,30.272590361445783,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1,30.272590361445783,0,0,10.7083,1,0,1,0,0,0,0,0,0,0,0,1,0
85,1,30.272590361445783,1,0,14.4542,0,1,1,0,0,0,0,0,0,0,1,0,0
86,0,27.0,0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1,0
87,0,18.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
88,0,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
89,1,2.0,1,1,23.0,1,0,1,0,0,0,0,0,0,0,0,0,1
90,0,22.0,1,0,13.9,0,1,1,0,0,0,0,0,0,0,0,0,1
91,1,30.272590361445783,0,0,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
92,0,27.0,1,2,52.0,0,0,0,0,1,0,0,0,0,0,0,0,1
93,1,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
94,1,25.0,0,0,26.0,0,0,1,0,0,0,0,0,0,0,1,0,0
95,1,25.0,0,0,7.7958,0,1,1,0,0,0,0,0,0,0,0,0,1
96,0,76.0,1,0,78.85,0,0,0,0,0,1,0,0,0,0,0,0,1
97,1,29.0,0,0,7.925,0,1,1,0,0,0,0,0,0,0,0,0,1
98,0,20.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
99,1,33.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
100,0,43.0,1,0,55.4417,0,0,0,0,0,1,0,0,0,0,1,0,0
